id,vessel_id,t,lon,lat,heading,course,speed
9267540,b8ed6fea5f97d4829a0d7e692adfcc0d1967309e64f6d20c9bfa54a24bedf5c3,04/08/2019 07:44,23.63417,37.80221,159,159,17
9267541,57139e85177dea04c5a366a3c24ca31a613754c1379d3e5cd844995e479ddf07,04/08/2019 07:44,23.63788,37.94247,,69.5,10.2
9267542,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:44,23.61636,37.87744,175,175.2,24.2
9267543,f83722e1d3a9edcad17dff23f15b7ec525c5ff4374650044ae8ffe8324a9d27a,04/08/2019 07:44,23.6012,37.81515,161,175,14
9267545,f4338c3a901352bab6897ca05bd205d54e7a5c37e27eee46b600627ad1302eff,04/08/2019 07:44,23.54051,37.89044,330,321.1,2.4
9267546,0fe51bee65c87f2f06f33d5b42fd47dfaf7d99c72336e2ec5543f709f90a2d9b,04/08/2019 07:44,23.63503,37.94355,220,291.5,0
9267547,52006e2fa9f9ab2364a45d5e1a57807b07661a61b7da027efb6f6ec4a74c5676,04/08/2019 07:44,23.56627,37.92015,327,310,0
9267550,bac263db165c5cef0003ad51e8d9161990f7c2e9f9fab89feb46289f58a35b0d,04/08/2019 07:44,23.60104,37.93887,340,345,6.8
9267551,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:44,23.61933,37.88048,170,174,25.2
9267552,b8ed6fea5f97d4829a0d7e692adfcc0d1967309e64f6d20c9bfa54a24bedf5c3,04/08/2019 07:44,23.63424,37.80206,159,158.8,17
9267553,af8ab01cfe8ab02333ec5f7689f6711501246324b7d5d7fcf4e0391192860e2b,04/08/2019 07:44,23.64878,37.93325,137,,0
9267555,1f0913ceba97d43fa952ae47d601e446c39f0a47352e4db8bc7732466e0a49fb,04/08/2019 07:44,23.61023,37.95747,,0,0
9267556,b9c2e66d0b02559e9cebc08025e252b7bb82837291d5b9c28991fd5bf557ad03,04/08/2019 07:44,23.61333,37.92,340,338,19.3
9267557,f83722e1d3a9edcad17dff23f15b7ec525c5ff4374650044ae8ffe8324a9d27a,04/08/2019 07:44,23.60128,37.8149,160,173,13.9
